host,description,principal name,principal type,local username,keytab file path,keytab file owner,keytab file owner access,keytab file group,keytab file group access,keytab file mode,keytab file installed
a01-r03-i164-156-515w9ay.jd.local,hbase,hbase-pss_cloud_dev@POLARIS.JD.COM,USER,hbase,/etc/security/keytabs/hbase.headless.keytab,hbase,r,hadoop,r,440,unknown
a01-r03-i164-156-515w9ay.jd.local,hbase_master_hbase,hbase/a01-r03-i164-156-515w9ay.jd.local@POLARIS.JD.COM,SERVICE,hbase,/etc/security/keytabs/hbase.service.keytab,hbase,r,hadoop,,400,unknown
a01-r03-i164-156-515w9ay.jd.local,accumulo_accumulo_master_hdfs,hdfs-pss_cloud_dev@POLARIS.JD.COM,USER,hdfs,/etc/security/keytabs/hdfs.headless.keytab,hdfs,r,hadoop,,400,unknown
a01-r03-i164-156-515w9ay.jd.local,hive_server_hive,hive/a01-r03-i164-156-515w9ay.jd.local@POLARIS.JD.COM,SERVICE,hive,/etc/security/keytabs/hive.service.keytab,hive,r,hadoop,r,440,unknown
a01-r03-i164-156-515w9ay.jd.local,llap_task_hive,hive/a01-r03-i164-156-515w9ay.jd.local@POLARIS.JD.COM,SERVICE,,/etc/security/keytabs/hive.llap.task.keytab,yarn,r,hadoop,r,440,unknown
a01-r03-i164-156-515w9ay.jd.local,llap_zk_hive,hive/a01-r03-i164-156-515w9ay.jd.local@POLARIS.JD.COM,SERVICE,,/etc/security/keytabs/hive.llap.zk.sm.keytab,yarn,r,hadoop,r,440,unknown
a01-r03-i164-156-515w9ay.jd.local,infra-solr,infra-solr/a01-r03-i164-156-515w9ay.jd.local@POLARIS.JD.COM,SERVICE,,/etc/security/keytabs/ambari-infra-solr.service.keytab,infra-solr,r,hadoop,,400,unknown
a01-r03-i164-156-515w9ay.jd.local,atlas_atlas_server_kafka_broker,kafka/a01-r03-i164-156-515w9ay.jd.local@POLARIS.JD.COM,SERVICE,,/etc/security/keytabs/kafka.service.keytab,kafka,r,hadoop,,400,unknown
a01-r03-i164-156-515w9ay.jd.local,knox_principal,knox/a01-r03-i164-156-515w9ay.jd.local@POLARIS.JD.COM,SERVICE,knox,/etc/security/keytabs/knox.service.keytab,knox,r,hadoop,,400,unknown
a01-r03-i164-156-515w9ay.jd.local,livyuser,livy/a01-r03-i164-156-515w9ay.jd.local@POLARIS.JD.COM,SERVICE,livy,/etc/security/keytabs/livy.service.keytab,livy,r,hadoop,,400,unknown
a01-r03-i164-156-515w9ay.jd.local,nfsgateway,nfs/a01-r03-i164-156-515w9ay.jd.local@POLARIS.JD.COM,SERVICE,hdfs,/etc/security/keytabs/nfs.service.keytab,hdfs,r,hadoop,,400,unknown
a01-r03-i164-156-515w9ay.jd.local,nodemanager_nm,nm/a01-r03-i164-156-515w9ay.jd.local@POLARIS.JD.COM,SERVICE,yarn,/etc/security/keytabs/nm.service.keytab,yarn,r,hadoop,,400,unknown
a01-r03-i164-156-515w9ay.jd.local,namenode_nn,nn/a01-r03-i164-156-515w9ay.jd.local@POLARIS.JD.COM,SERVICE,hdfs,/etc/security/keytabs/nn.service.keytab,hdfs,r,hadoop,,400,unknown
a01-r03-i164-156-515w9ay.jd.local,rangeradmin,rangeradmin/a01-r03-i164-156-515w9ay.jd.local@POLARIS.JD.COM,SERVICE,ranger,/etc/security/keytabs/rangeradmin.service.keytab,ranger,r,,,400,unknown
a01-r03-i164-156-515w9ay.jd.local,rangerlookup,rangerlookup/a01-r03-i164-156-515w9ay.jd.local@POLARIS.JD.COM,SERVICE,,/etc/security/keytabs/rangerlookup.service.keytab,ranger,r,,,400,unknown
a01-r03-i164-156-515w9ay.jd.local,rangerusersync,rangerusersync/a01-r03-i164-156-515w9ay.jd.local@POLARIS.JD.COM,SERVICE,rangerusersync,/etc/security/keytabs/rangerusersync.service.keytab,ranger,r,,,400,unknown
a01-r03-i164-156-515w9ay.jd.local,spark2user,spark-pss_cloud_dev@POLARIS.JD.COM,USER,spark,/etc/security/keytabs/spark.headless.keytab,spark,r,hadoop,,400,unknown
a01-r03-i164-156-515w9ay.jd.local,accumulo_tracer,tracer-pss_cloud_dev@POLARIS.JD.COM,USER,accumulo,/etc/security/keytabs/accumulo-tracer.headless.keytab,accumulo,r,hadoop,,400,unknown
a01-r03-i164-156-515w9ay.jd.local,zeppelin_user,zeppelin-pss_cloud_dev@POLARIS.JD.COM,USER,zeppelin,/etc/security/keytabs/zeppelin.server.kerberos.keytab,zeppelin,r,hadoop,,400,unknown
a01-r03-i164-156-515w9ay.jd.local,zookeeper_zk,zookeeper/a01-r03-i164-156-515w9ay.jd.local@POLARIS.JD.COM,SERVICE,,/etc/security/keytabs/zk.service.keytab,zookeeper,r,hadoop,,400,unknown
a01-r03-i164-157-515w8ey.jd.local,ambari_infra_spnego,HTTP/a01-r03-i164-157-515w8ey.jd.local@POLARIS.JD.COM,SERVICE,,/etc/security/keytabs/spnego.service.keytab,root,r,hadoop,r,440,unknown
a01-r03-i164-157-515w8ey.jd.local,accumulo,accumulo-pss_cloud_dev@POLARIS.JD.COM,USER,accumulo,/etc/security/keytabs/accumulo.headless.keytab,accumulo,r,hadoop,r,440,unknown
a01-r03-i164-157-515w8ey.jd.local,accumulo_service,accumulo/a01-r03-i164-157-515w8ey.jd.local@POLARIS.JD.COM,SERVICE,accumulo,/etc/security/keytabs/accumulo.service.keytab,accumulo,r,hadoop,,400,unknown
a01-r03-i164-157-515w8ey.jd.local,accumulo_smokeuser,ambari-qa-pss_cloud_dev@POLARIS.JD.COM,USER,ambari-qa,/etc/security/keytabs/smokeuser.headless.keytab,ambari-qa,r,hadoop,r,440,unknown
a01-r03-i164-157-515w8ey.jd.local,datanode_dn,dn/a01-r03-i164-157-515w8ey.jd.local@POLARIS.JD.COM,SERVICE,hdfs,/etc/security/keytabs/dn.service.keytab,hdfs,r,hadoop,,400,unknown
a01-r03-i164-157-515w8ey.jd.local,falcon_server,falcon/a01-r03-i164-157-515w8ey.jd.local@POLARIS.JD.COM,SERVICE,falcon,/etc/security/keytabs/falcon.service.keytab,falcon,r,hadoop,,400,unknown
a01-r03-i164-157-515w8ey.jd.local,hbase,hbase-pss_cloud_dev@POLARIS.JD.COM,USER,hbase,/etc/security/keytabs/hbase.headless.keytab,hbase,r,hadoop,r,440,unknown
a01-r03-i164-157-515w8ey.jd.local,hbase_regionserver_hbase,hbase/a01-r03-i164-157-515w8ey.jd.local@POLARIS.JD.COM,SERVICE,hbase,/etc/security/keytabs/hbase.service.keytab,hbase,r,hadoop,,400,unknown
a01-r03-i164-157-515w8ey.jd.local,falcon_falcon_server_hdfs,hdfs-pss_cloud_dev@POLARIS.JD.COM,USER,hdfs,/etc/security/keytabs/hdfs.headless.keytab,hdfs,r,hadoop,,400,unknown
a01-r03-i164-157-515w8ey.jd.local,hive_server_hive,hive/a01-r03-i164-157-515w8ey.jd.local@POLARIS.JD.COM,SERVICE,hive,/etc/security/keytabs/hive.service.keytab,hive,r,hadoop,r,440,unknown
a01-r03-i164-157-515w8ey.jd.local,llap_task_hive,hive/a01-r03-i164-157-515w8ey.jd.local@POLARIS.JD.COM,SERVICE,,/etc/security/keytabs/hive.llap.task.keytab,yarn,r,hadoop,r,440,unknown
a01-r03-i164-157-515w8ey.jd.local,llap_zk_hive,hive/a01-r03-i164-157-515w8ey.jd.local@POLARIS.JD.COM,SERVICE,,/etc/security/keytabs/hive.llap.zk.sm.keytab,yarn,r,hadoop,r,440,unknown
a01-r03-i164-157-515w8ey.jd.local,history_server_jhs,jhs/a01-r03-i164-157-515w8ey.jd.local@POLARIS.JD.COM,SERVICE,mapred,/etc/security/keytabs/jhs.service.keytab,mapred,r,hadoop,,400,unknown
a01-r03-i164-157-515w8ey.jd.local,livyuser,livy/a01-r03-i164-157-515w8ey.jd.local@POLARIS.JD.COM,SERVICE,livy,/etc/security/keytabs/livy.service.keytab,livy,r,hadoop,,400,unknown
a01-r03-i164-157-515w8ey.jd.local,nfsgateway,nfs/a01-r03-i164-157-515w8ey.jd.local@POLARIS.JD.COM,SERVICE,hdfs,/etc/security/keytabs/nfs.service.keytab,hdfs,r,hadoop,,400,unknown
a01-r03-i164-157-515w8ey.jd.local,nodemanager_nm,nm/a01-r03-i164-157-515w8ey.jd.local@POLARIS.JD.COM,SERVICE,yarn,/etc/security/keytabs/nm.service.keytab,yarn,r,hadoop,,400,unknown
a01-r03-i164-157-515w8ey.jd.local,secondary_namenode_nn,nn/a01-r03-i164-157-515w8ey.jd.local@POLARIS.JD.COM,SERVICE,hdfs,/etc/security/keytabs/nn.service.keytab,hdfs,r,hadoop,,400,unknown
a01-r03-i164-157-515w8ey.jd.local,oozie_server,oozie/a01-r03-i164-157-515w8ey.jd.local@POLARIS.JD.COM,SERVICE,oozie,/etc/security/keytabs/oozie.service.keytab,oozie,r,hadoop,,400,unknown
a01-r03-i164-157-515w8ey.jd.local,resource_manager_rm,rm/a01-r03-i164-157-515w8ey.jd.local@POLARIS.JD.COM,SERVICE,yarn,/etc/security/keytabs/rm.service.keytab,yarn,r,hadoop,,400,unknown
a01-r03-i164-157-515w8ey.jd.local,spark2user,spark-pss_cloud_dev@POLARIS.JD.COM,USER,spark,/etc/security/keytabs/spark.headless.keytab,spark,r,hadoop,,400,unknown
a01-r03-i164-157-515w8ey.jd.local,accumulo_tracer,tracer-pss_cloud_dev@POLARIS.JD.COM,USER,accumulo,/etc/security/keytabs/accumulo-tracer.headless.keytab,accumulo,r,hadoop,,400,unknown
a01-r03-i164-157-515w8ey.jd.local,app_timeline_server_yarn,yarn/a01-r03-i164-157-515w8ey.jd.local@POLARIS.JD.COM,SERVICE,yarn,/etc/security/keytabs/yarn.service.keytab,yarn,r,hadoop,,400,unknown
a01-r03-i164-157-515w8ey.jd.local,zookeeper_zk,zookeeper/a01-r03-i164-157-515w8ey.jd.local@POLARIS.JD.COM,SERVICE,,/etc/security/keytabs/zk.service.keytab,zookeeper,r,hadoop,,400,unknown
a01-r03-i164-159-515w64k.jd.local,ambari_infra_spnego,HTTP/a01-r03-i164-159-515w64k.jd.local@POLARIS.JD.COM,SERVICE,,/etc/security/keytabs/spnego.service.keytab,root,r,hadoop,r,440,unknown
a01-r03-i164-159-515w64k.jd.local,accumulo,accumulo-pss_cloud_dev@POLARIS.JD.COM,USER,accumulo,/etc/security/keytabs/accumulo.headless.keytab,accumulo,r,hadoop,r,440,unknown
a01-r03-i164-159-515w64k.jd.local,accumulo_service,accumulo/a01-r03-i164-159-515w64k.jd.local@POLARIS.JD.COM,SERVICE,accumulo,/etc/security/keytabs/accumulo.service.keytab,accumulo,r,hadoop,,400,unknown
a01-r03-i164-159-515w64k.jd.local,accumulo_smokeuser,ambari-qa-pss_cloud_dev@POLARIS.JD.COM,USER,ambari-qa,/etc/security/keytabs/smokeuser.headless.keytab,ambari-qa,r,hadoop,r,440,unknown
a01-r03-i164-159-515w64k.jd.local,ams_collector,amshbase/a01-r03-i164-159-515w64k.jd.local@POLARIS.JD.COM,SERVICE,ams,/etc/security/keytabs/ams.collector.keytab,ams,r,hadoop,,400,unknown
a01-r03-i164-159-515w64k.jd.local,ams_hbase_master_hbase,amshbase/a01-r03-i164-159-515w64k.jd.local@POLARIS.JD.COM,SERVICE,ams,/etc/security/keytabs/ams-hbase.master.keytab,ams,r,hadoop,,400,unknown
a01-r03-i164-159-515w64k.jd.local,ams_hbase_regionserver_hbase,amshbase/a01-r03-i164-159-515w64k.jd.local@POLARIS.JD.COM,SERVICE,ams,/etc/security/keytabs/ams-hbase.regionserver.keytab,ams,r,hadoop,,400,unknown
a01-r03-i164-159-515w64k.jd.local,ams_zookeeper,amszk/a01-r03-i164-159-515w64k.jd.local@POLARIS.JD.COM,SERVICE,ams,/etc/security/keytabs/ams-zk.service.keytab,ams,r,hadoop,,400,unknown
a01-r03-i164-159-515w64k.jd.local,datanode_dn,dn/a01-r03-i164-159-515w64k.jd.local@POLARIS.JD.COM,SERVICE,hdfs,/etc/security/keytabs/dn.service.keytab,hdfs,r,hadoop,,400,unknown
a01-r03-i164-159-515w64k.jd.local,druid,druid-pss_cloud_dev@POLARIS.JD.COM,USER,druid,/etc/security/keytabs/druid.headless.keytab,druid,r,hadoop,r,440,unknown
a01-r03-i164-159-515w64k.jd.local,hbase,hbase-pss_cloud_dev@POLARIS.JD.COM,USER,hbase,/etc/security/keytabs/hbase.headless.keytab,hbase,r,hadoop,r,440,unknown
a01-r03-i164-159-515w64k.jd.local,hbase_regionserver_hbase,hbase/a01-r03-i164-159-515w64k.jd.local@POLARIS.JD.COM,SERVICE,hbase,/etc/security/keytabs/hbase.service.keytab,hbase,r,hadoop,,400,unknown
a01-r03-i164-159-515w64k.jd.local,ambari_metrics_metrics_collector_hdfs,hdfs-pss_cloud_dev@POLARIS.JD.COM,USER,hdfs,/etc/security/keytabs/hdfs.headless.keytab,hdfs,r,hadoop,,400,unknown
a01-r03-i164-159-515w64k.jd.local,hive_server_hive,hive/a01-r03-i164-159-515w64k.jd.local@POLARIS.JD.COM,SERVICE,hive,/etc/security/keytabs/hive.service.keytab,hive,r,hadoop,r,440,unknown
a01-r03-i164-159-515w64k.jd.local,llap_task_hive,hive/a01-r03-i164-159-515w64k.jd.local@POLARIS.JD.COM,SERVICE,,/etc/security/keytabs/hive.llap.task.keytab,yarn,r,hadoop,r,440,unknown
a01-r03-i164-159-515w64k.jd.local,llap_zk_hive,hive/a01-r03-i164-159-515w64k.jd.local@POLARIS.JD.COM,SERVICE,,/etc/security/keytabs/hive.llap.zk.sm.keytab,yarn,r,hadoop,r,440,unknown
a01-r03-i164-159-515w64k.jd.local,livyuser,livy/a01-r03-i164-159-515w64k.jd.local@POLARIS.JD.COM,SERVICE,livy,/etc/security/keytabs/livy.service.keytab,livy,r,hadoop,,400,unknown
a01-r03-i164-159-515w64k.jd.local,nfsgateway,nfs/a01-r03-i164-159-515w64k.jd.local@POLARIS.JD.COM,SERVICE,hdfs,/etc/security/keytabs/nfs.service.keytab,hdfs,r,hadoop,,400,unknown
a01-r03-i164-159-515w64k.jd.local,nodemanager_nm,nm/a01-r03-i164-159-515w64k.jd.local@POLARIS.JD.COM,SERVICE,yarn,/etc/security/keytabs/nm.service.keytab,yarn,r,hadoop,,400,unknown
a01-r03-i164-159-515w64k.jd.local,rangertagsync,rangertagsync/a01-r03-i164-159-515w64k.jd.local@POLARIS.JD.COM,SERVICE,rangertagsync,/etc/security/keytabs/rangertagsync.service.keytab,ranger,r,,,400,unknown
a01-r03-i164-159-515w64k.jd.local,spark2user,spark-pss_cloud_dev@POLARIS.JD.COM,USER,spark,/etc/security/keytabs/spark.headless.keytab,spark,r,hadoop,,400,unknown
a01-r03-i164-159-515w64k.jd.local,accumulo_tracer,tracer-pss_cloud_dev@POLARIS.JD.COM,USER,accumulo,/etc/security/keytabs/accumulo-tracer.headless.keytab,accumulo,r,hadoop,,400,unknown
a01-r03-i164-159-515w64k.jd.local,zookeeper_zk,zookeeper/a01-r03-i164-159-515w64k.jd.local@POLARIS.JD.COM,SERVICE,,/etc/security/keytabs/zk.service.keytab,zookeeper,r,hadoop,,400,unknown

